DATE,DXY%return
2016-10-01,1.54822
2016-11-01,3.28526
2016-12-01,0.49490
2017-01-01,-1.79257
2017-02-01,-0.19179
2017-03-01,-1.04345
2017-04-01,-0.00235
2017-05-01,-1.30006
2017-06-01,-1.15381
2017-07-01,-1.93969
2017-08-01,-0.41005
2017-09-01,0.65853
2017-10-01,1.56270
2017-11-01,-1.19860
2017-12-01,-0.34889
2018-01-01,-3.00691
2018-02-01,1.51850
2018-03-01,-0.84038
2018-04-01,1.72944
2018-05-01,2.42659
2018-06-01,1.13347
2018-07-01,-0.46759
2018-08-01,1.37051
2018-09-01,-0.40909
2018-10-01,2.38803
2018-11-01,-0.09706
2018-12-01,-0.72663
2019-01-01,-1.74668
2019-02-01,0.57332
2019-03-01,0.82084
2019-04-01,0.16615
2019-05-01,1.21426
2019-06-01,-1.83689
2019-07-01,0.79303
2019-08-01,2.31077
2019-09-01,-0.17924
2019-10-01,-1.72538
2019-11-01,1.04291
2019-12-01,-2.09392
2020-01-01,0.96013
2020-02-01,1.70419
2020-03-01,4.30595
2020-04-01,-0.13630
2020-05-01,-1.18468
2020-06-01,-0.34283
2020-07-01,-2.76261
2020-08-01,-1.22407
2020-09-01,1.08227
2020-10-01,-0.67669
2020-11-01,-2.55640
2020-12-01,-1.70780
2021-01-01,0.60196
2021-02-01,0.78646
2021-03-01,0.90658
2021-04-01,-1.53830
2021-05-01,-1.19571
2021-06-01,1.63285
2021-07-01,0.08481
2021-08-01,0.42190
2021-09-01,1.38602
2021-10-01,-0.41351
